provincias,violencias
San Juan,296.0
San Juan,250.0
San Juan,232.0
San Juan,316.0
San Juan,293.0
San Juan,299.0
San Juan,359.0
San Juan,275.0
San Juan,297.0
San Juan,340.0
San Juan,386.0
San Juan,350.0
San Juan,351.0
San Juan,315.0
San Luis,10.0
San Luis,2.0
San Luis,8.0
San Luis,4.0
San Luis,2.0
San Luis,10.0
San Luis,17.0
San Luis,6.0
San Luis,9.0
San Luis,14.0
San Luis,17.0
San Luis,18.0
San Luis,24.0
San Luis,21.0
San Luis,30.0
San Luis,42.0
San Luis,19.0
San Luis,20.0
Santa Cruz,3.0
Santa Cruz,5.0
Santa Cruz,9.0
Santa Cruz,17.0
Santa Cruz,11.0
Santa Cruz,9.0
Santa Cruz,5.0
Santa Cruz,8.0
Santa Cruz,11.0
Santa Cruz,8.0
Santa Cruz,27.0
Santa Cruz,16.0
Santa Cruz,13.0
Santa Cruz,11.0
Santa Cruz,7.0
Santa Cruz,5.0
Santa Cruz,8.0
Santa Cruz,7.0
Santa Fe,34.0
Santa Fe,25.0
Santa Fe,50.0
Santa Fe,43.0
Santa Fe,50.0
Santa Fe,38.0
Santa Fe,22.0
Santa Fe,27.0
Santa Fe,45.0
Santa Fe,42.0
Santa Fe,45.0
Santa Fe,51.0
Santa Fe,43.0
Santa Fe,82.0
Santa Fe,74.0
Santa Fe,60.0
Santa Fe,59.0
Santa Fe,39.0
Tucumán,66.0
Tucumán,44.0
Tucumán,126.0
Tucumán,117.0
Tucumán,67.0
Tucumán,90.0
Tucumán,18.0
Tucumán,161.0
Tucumán,25.0
Tucumán,20.0
Tucumán,18.0
Tucumán,53.0
Tucumán,38.0
Tucumán,8.0
Tucumán,7.0
Tucumán,196.0
Tucumán,53.0
Tucumán,58.0
,
No se han aplicado filtros,
