provincias;año;mes;total;intervenciones;violencias
Jujuy;2022;11;325;149;166
Jujuy;2022;12;265;142;134
Jujuy;2023;1;214;118;108
Jujuy;2023;2;144;73;72
Jujuy;2023;3;204;106;106
Jujuy;2023;4;234;119;95
Jujuy;2023;5;244;121;118
Jujuy;2023;6;250;117;110
La Pampa;2022;10;48;16;31
La Pampa;2022;11;18;6;12
La Pampa;2022;12;14;6;11
La Pampa;2023;1;20;5;14
La Pampa;2023;2;17;12;13
La Pampa;2023;3;14;7;6
La Pampa;2023;4;18;8;14
La Pampa;2023;5;14;10;10
La Pampa;2023;6;9;3;5
La Rioja;2022;2;4;3;4
La Rioja;2022;3;4;4;3
La Rioja;2022;4;8;5;5
La Rioja;2022;5;12;12;8
La Rioja;2022;6;7;5;6
La Rioja;2022;7;5;4;3
La Rioja;2022;8;6;4;5
La Rioja;2022;9;9;9;8
La Rioja;2022;10;13;10;10
La Rioja;2022;11;20;15;15
La Rioja;2022;12;12;9;8
La Rioja;2023;1;8;3;7
La Rioja;2023;2;14;9;11
La Rioja;2023;3;31;21;25
La Rioja;2023;4;34;26;25
La Rioja;2023;5;40;30;21
La Rioja;2023;6;35;27;24
Mendoza;2022;1;300;147;177
Mendoza;2022;2;297;117;137
Mendoza;2022;3;412;195;201
Mendoza;2022;4;339;142;157
Mendoza;2022;5;356;137;171
Mendoza;2022;6;323;127;135
Mendoza;2022;7;276;100;111
Mendoza;2022;8;393;140;163
Mendoza;2022;9;346;152;155
Mendoza;2022;10;333;207;143
Mendoza;2022;11;360;166;177
Mendoza;2022;12;282;133;128
Mendoza;2023;1;360;190;191
Mendoza;2023;2;403;163;188
Mendoza;2023;3;429;196;173
Mendoza;2023;4;350;165;158
Mendoza;2023;5;320;134;121
Mendoza;2023;6;258;110;106
Misiones;2022;1;26;12;19
Misiones;2022;2;33;2;14
Misiones;2022;3;18;5;12
Misiones;2022;4;13;7;8
Misiones;2022;5;20;7;12
Misiones;2022;6;21;11;12
Misiones;2022;7;27;17;14
Misiones;2022;8;36;23;24
Misiones;2022;9;98;49;57
Misiones;2022;10;68;34;44
Misiones;2022;11;66;46;42
Misiones;2022;12;37;25;21
Misiones;2023;1;70;38;42
Misiones;2023;2;78;48;42
Misiones;2023;3;55;45;34
Misiones;2023;4;89;61;40
Misiones;2023;5;94;42;65
Misiones;2023;6;71;34;39
Neuquén;2022;1;74;42;63
Neuquén;2022;2;85;62;62
Neuquén;2022;3;124;86;80
Neuquén;2022;4;163;97;125
Neuquén;2022;5;140;92;119
Neuquén;2022;6;98;58;79
Neuquén;2022;7;128;84;109
Neuquén;2022;8;171;95;143
Neuquén;2022;9;168;106;144
Neuquén;2022;10;161;100;138
Neuquén;2022;11;142;97;129
Neuquén;2022;12;69;54;68
Neuquén;2023;1;89;60;75
Neuquén;2023;2;77;56;67
Neuquén;2023;3;138;76;107
Neuquén;2023;4;102;61;80
Neuquén;2023;5;173;118;142
Neuquén;2023;6;165;75;127
Río Negro;2022;1;22;10;12
Río Negro;2022;2;29;8;25
Río Negro;2022;3;24;5;11
Río Negro;2022;4;30;13;21
Río Negro;2022;5;26;11;18
Río Negro;2022;6;39;4;27
Río Negro;2022;7;59;9;26
Río Negro;2022;8;50;6;20
Río Negro;2022;9;55;4;32
Río Negro;2022;10;38;7;21
Río Negro;2022;11;37;19;17
Río Negro;2022;12;25;10;13
Río Negro;2023;1;33;7;12
Río Negro;2023;2;38;13;30
